Year,Temp (F),Precip (inches)
196404,37.5,2.95
196405,53,2.29
196406,59.4,2.24
196407,65.7,4.47
196408,58.6,3.45
196409,52.1,1.73
196410,43.2,3.44
196411,31.6,3.17
196412,18.7,3.82
196501,10.9,1.64
196502,13.4,3.56
196503,26.6,0.56
196504,36.9,2.31
196505,51,1.75
196506,61.1,2.03
196507,62.2,2.51
196508,63,3.97
196509,55.1,3.22
196510,42.4,3.88
196511,28.9,4.58
196512,20.1,1.93
196601,17,3.48
196602,17.2,2.34
196603,28.8,3.38
196604,37.2,0.83
196605,48.6,2.5
196606,60.7,2.98
196607,64.4,3.82
196608,63.2,2.89
196609,52.5,3.58
196610,44.2,3.75
196611,36.5,5.48
196612,22.6,3.01
196701,18,2.18
196702,9.1,2.78
196703,20.3,1.16
196704,35.7,2.07
196705,43.9,4.6
196706,62.1,4.29
196707,66.8,3.91
196708,64.6,3.99
196709,55.5,5.53
196710,45.6,2.73
196711,31,3.32
196712,20.4,4.81
196801,8.9,2.66
196802,11.1,1.61
196803,27.9,3.57
196804,41.9,2.84
196805,49.1,2.94
196806,57.9,3.77
196807,66.4,2.17
196808,60.3,2.03
196809,57.8,1.93
196810,47.8,3.08
196811,29.4,5.55
196812,18.5,5.45
196901,16.4,3.15
196902,18.6,4.49
196903,25.4,2.54
196904,36.5,3.05
196905,49.1,3.09
196906,60.6,3.49
196907,63.3,4.71
196908,65.1,3.38
196909,54.8,5.32
196910,43.2,1.64
196911,35.7,7
196912,22.1,7.8
197001,7.7,0.7
197002,16.4,4.87
197003,26.2,2.74
197004,38.1,3.79
197005,51.1,3.89
197006,60.5,3.34
197007,67.6,2.72
197008,65,3.79
197009,54.8,3.58
197010,47.1,4.64
197011,34.7,2.76
197012,12,3.96
197101,7.3,2.09
197102,15.7,4.39
197103,25.4,3.51
197104,37.2,1.92
197105,51.2,3.49
197106,60.4,2.14
197107,65.4,3.62
197108,63.5,4.5
197109,57.8,3.03
197110,48.7,2.9
197111,30.2,3.3
197112,17.1,2.73
197201,13.7,2.01
197202,12.9,3.73
197203,21.4,5.86
197204,34.7,2.39
197205,51.2,2.83
197206,60,5.92
197207,65.1,4.62
197208,61.7,2.82
197209,55.7,4.04
197210,40.6,3.99
197211,29.9,4.65
197212,15.3,5.76
197301,16.6,3.51
197302,15.8,3.21
197303,32,2.91
197304,39.8,5.79
197305,48.4,5.38
197306,62.3,4.32
197307,68,4.11
197308,67.2,4.77
197309,54.1,3.77
197310,44.9,3.38
197311,31.4,3.23
197312,26.5,9.04
197401,14,2.88
197402,14.6,2.33
197403,24.8,3.97
197404,38.2,4.88
197405,45.7,5.02
197406,60.4,3.79
197407,64.5,4.05
197408,64.2,2.92
197409,53.7,4.32
197410,39.4,1.56
197411,32.9,4.24
197412,22.8,2.98
197501,16,3.31
197502,15.6,1.8
197503,24.4,3.44
197504,34.9,2.59
197505,53.9,2.15
197506,60.8,4.23
197507,68.3,3.79
197508,64.2,2.26
197509,54.1,4.3
197510,45.4,3.81
197511,36.3,4.76
197512,16,4.95
197601,9.3,4.32
197602,19,3.87
197603,25.7,2.84
197604,40.5,3.83
197605,50.8,5.11
197606,63.8,3.32
197607,64,6.91
197608,63.5,5.85
197609,54.4,2.82
197610,41.6,5.79
197611,29.5,2.22
197612,12.2,4.16
197701,8.5,3.27
197702,16,2.88
197703,33.2,4.25
197704,37.9,2.72
197705,52.6,1.71
197706,58.2,6.8
197707,65,2.03
197708,63,4.6
197709,53,5.49
197710,44.3,6.63
197711,35.6,3.29
197712,18.5,5.22
197801,12.9,6.86
197802,12.7,1.06
197803,23,3.05
197804,36.2,3.11
197805,53.6,2.46
197806,60.3,4.19
197807,65.4,2.45
197808,64.1,2.08
197809,51.2,2.07
197810,42.7,3.64
197811,30.6,2.1
